epoch,batch_size,train_loss,train_acc,val_acc
1.0,64.0,0.6779945022936475,0.6061973525872443,0.6054852320675106
2.0,64.0,0.6678783886412565,0.6067990373044525,0.6054852320675106
3.0,64.0,0.6586976282289599,0.6067990373044525,0.6054852320675106
4.0,64.0,0.6327464810777658,0.6119133574007221,0.6350210970464135
5.0,64.0,0.5524329429068721,0.720517448856799,0.7320675105485233
6.0,64.0,0.44087960767401685,0.8020457280385078,0.7510548523206751
7.0,64.0,0.3687789455217575,0.8402527075812274,0.7616033755274262
8.0,64.0,0.32416981612875717,0.868231046931408,0.7573839662447257
9.0,64.0,0.2823868662154775,0.8880866425992779,0.7510548523206751
10.0,64.0,0.24896684249529052,0.9091456077015644,0.7489451476793249
11.0,64.0,0.22362314033737826,0.9139590854392299,0.7489451476793249
12.0,64.0,0.19062740335108713,0.9350180505415162,0.7447257383966245
